id;numero;tipojuicio;fecha_atestado;fecha_hora_suceso;lugar;accidente;permiso;alcoholemia;bienes;velocidad;lesiones;fallecido;instructor;secretario
1;mobile Fish;ORDINARIO;2019-11-13;2019-11-13T04:16:03;seamless Metal deposit;false;true;true;true;true;false;false;Officer;methodology Albania
2;Home Namibia;RAPIDO;2019-11-13;2019-11-13T09:42:11;Licensed Savings Account;false;true;true;true;false;false;true;Yuan Renminbi Centers;Factors
3;South Dakota envisioneer Music;ORDINARIO;2019-11-13;2019-11-12T22:53:29;Investment Account;true;false;false;true;false;false;false;copy convergence;Mayotte
4;Industrial;ORDINARIO;2019-11-13;2019-11-12T21:50:06;archive Georgia Aruba;true;false;true;false;true;false;true;Louisiana Specialist Home Loan Account;Plastic
5;Car Industrial deliverables;ORDINARIO;2019-11-12;2019-11-13T10:31:02;monitor 1080p Checking Account;true;false;true;false;true;true;true;Highway Ergonomic;moratorium moratorium
6;New York tangible Mississippi;RAPIDO;2019-11-12;2019-11-12T21:58:05;Robust Networked;false;true;true;false;false;false;false;red;withdrawal knowledge base Buckinghamshire
7;Concrete Investment Account Saint Lucia;ORDINARIO;2019-11-13;2019-11-13T00:55:01;Chilean Peso Unidades de fomento;true;true;true;true;false;true;false;Squares mint green e-business;Ghana back-end National
8;Direct;ORDINARIO;2019-11-13;2019-11-13T15:16:37;cutting-edge ability Hat;true;false;false;false;true;false;false;User-centric Gloves;Mauritania
9;facilitate Tasty Concrete Chips Exclusive;RAPIDO;2019-11-13;2019-11-13T08:53:12;Analyst paradigms;false;false;false;true;true;false;true;Lebanon;Designer Persistent
10;Handmade 24/7 Re-contextualized;RAPIDO;2019-11-13;2019-11-12T19:41:43;optical;false;false;true;false;true;false;true;neural-net red;Buckinghamshire Future-proofed deposit
