id;tipo;nombre_remitente;desc_remitente
1;POLICIA_NACIONAL;mindshare Gorgeous;Chips
2;POLICIA_NACIONAL;Som Rustic Frozen Keyboard ROI;Benin
3;POLICIA_LOCAL;alarm Jamaica;system Gorgeous Rubber Pants
4;POLICIA_LOCAL;leading-edge;Ergonomic Steel Gloves
5;POLICIA_NACIONAL;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna
6;POLICIA_LOCAL;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York
7;POLICIA_LOCAL;Station;parsing Investment Account
8;GUARDIA_CIVIL;yellow;Books Generic
9;POLICIA_LOCAL;Garden open-source hybrid;Solomon Islands Dollar
10;POLICIA_LOCAL;schemas Specialist China;quantify multi-byte
